Guess,parbo,par1s,pasen,polen,pools,pruis,paaps,paard,paars,paart,pacen,pacht,paddo,paddy,paden,padie,pager,pages,pak1s,pakje,palen,palet,palts,pampa,panda,panel,panen,panna,panne,panty,paper,papil,papje,pappa,parel,paren,paret,paria,parka,part1,party,pasar,pasja,pasje,passe,pasta,patat,patch,pater,patio,pauze,pedel,pedis,pegel,pekel,pelen,peluw,penis,penny,peper,peren,pesto,peter,pezen,pezig,piano,piepa,p1len,p1ler,p1nen,p1pen,p1per,p1pje,piket,pikol,pilav,pinas,pinda,pioen,pipet,piste,pitje,pitte,pixel,pizza,plaag,plaat,plaid,plane,plank,plano,plant,plebs,pleet,plein,pleit,plemp,plens,plint,ploeg,plomp,plons,plooi,ploos,ploot,plots,pluim,pluis,poeha,poema,poets,pogen,poger,poken,poker,polak,polio,polis,polka,ponem,poort,popel,porem,porie,porno,porto,porum,poses,potas,poten,poter,potig,potje,poule,pover,power,pozen,praal,praam,praat,prang,prauw,preek,prent,priel,priem,prima,prime,primo,prins,print,prion,prior,proef,promo,pronk,pront,prooi,prove,provo,proxy,proza,pruik,pruim,prune,pruts,psalm,puber,pubis,puist,punch,pupil,puppy,puree,puren,putse,putto,pylon,pingo,plurk,pangi,parwa,peies
paria,22200,22200,22000,20000,20000,20120,22001,22101,22101,22101,22000,22000,22000,22000,22000,22020,22100,22000,22000,22000,22000,22000,22000,22002,22002,22000,22000,22002,22000,22000,22100,22020,22000,22002,22200,22200,22200,22222,22202,22200,22200,22101,22002,22000,22000,22002,22001,22000,22100,22020,22000,20000,20020,20000,20000,20000,20000,20020,20000,20100,20200,20000,20100,20000,20020,21010,20012,20000,20100,20000,20000,20100,20000,20010,20010,21010,21010,20012,20010,20010,20010,20010,20010,20010,20012,21001,21001,21020,21000,21000,21000,21000,20000,20000,20020,20020,20000,20000,20010,20000,20000,20000,20010,20000,20000,20000,20020,20020,20002,20002,20000,20000,20100,20000,20100,21000,20020,20020,20002,20000,20100,20000,20200,20220,20200,20200,20200,20000,21000,20000,20100,20020,20000,20000,20100,20100,20000,21101,21101,21101,21100,21100,20100,20100,20110,20110,20112,20110,20110,20110,20110,20110,20110,20100,20100,20100,20100,20110,20100,20100,20100,20102,20120,20120,20100,20100,21000,20100,20020,20010,20000,20020,20000,20200,20200,20000,20000,20000,20010,20100,22010,22202,20010
parka,22200,22200,22000,20000,20000,20100,22001,22101,22101,22101,22000,22000,22000,22000,22000,22000,22100,22000,22010,22010,22000,22000,22000,22002,22002,22000,22000,22002,22000,22000,22100,22000,22000,22002,22200,22200,22200,22202,22222,22200,22200,22101,22002,22000,22000,22002,22001,22000,22100,22000,22000,20000,20000,20000,20010,20000,20000,20000,20000,20100,20200,20000,20100,20000,20000,21000,20002,20000,20100,20000,20000,20100,20000,20010,20010,21000,21000,20002,20000,20000,20000,20000,20000,20000,20002,21001,21001,21000,21000,21010,21000,21000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20002,20000,20000,20100,20010,20110,21010,20000,20000,20022,20000,20100,20000,20200,20200,20200,20200,20200,20000,21000,20000,20100,20000,20000,20000,20100,20100,20000,21101,21101,21101,21100,21100,20110,20100,20100,20100,20102,20100,20100,20100,20100,20100,20100,20100,20100,20110,20100,20100,20100,20100,20100,20102,20110,20100,20100,20100,21000,20100,20000,20000,20000,20000,20000,20200,20200,20000,20000,20000,20000,20110,22000,22202,20000
part1,22200,22201,22000,20000,20000,20100,22000,22100,22100,22110,22000,22010,22000,22000,22000,22000,22100,22000,22001,22000,22000,22010,22020,22000,22000,22000,22000,22000,22000,22020,22100,22000,22000,22000,22200,22200,22210,22200,22200,22222,22220,22100,22000,22000,22000,22020,22010,22010,22110,22010,22000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20200,20020,20110,20000,20000,21000,21000,20001,20101,20001,20001,20101,20001,20010,20000,21000,21000,21000,20000,20010,20020,20010,20020,20000,21000,21000,21010,21000,21000,21000,21000,21010,20000,20010,20000,20010,20000,20000,20010,20000,20000,20000,20000,20000,20010,20020,20000,20000,21000,21000,20020,20000,20100,20000,20100,21000,20000,20000,21000,20000,20110,20000,20200,20200,20200,20220,20200,20000,21010,20010,20110,20010,20010,20000,20100,20100,20000,21100,21100,21110,21100,21100,20100,20110,20100,20100,21100,20100,20100,20100,20110,20100,20100,20100,20100,20100,20110,20100,20100,20100,20100,21100,20100,20100,20100,20120,21000,20100,20000,20010,20000,20000,20000,20200,20200,20010,20020,20000,20000,20100,22000,22200,20000
party,22200,22200,22000,20000,20000,20100,22000,22100,22100,22110,22000,22010,22000,22002,22000,22000,22100,22000,22000,22000,22000,22010,22020,22000,22000,22000,22000,22000,22000,22022,22100,22000,22000,22000,22200,22200,22210,22200,22200,22220,22222,22100,22000,22000,22000,22020,22010,22010,22110,22010,22000,20000,20000,20000,20000,20000,20000,20000,20002,20100,20200,20020,20110,20000,20000,21000,21000,20000,20100,20000,20000,20100,20000,20010,20000,21000,21000,21000,20000,20010,20020,20010,20020,20000,21000,21000,21010,21000,21000,21000,21000,21010,20000,20010,20000,20010,20000,20000,20010,20000,20000,20000,20000,20000,20010,20020,20000,20000,21000,21000,20020,20000,20100,20000,20100,21000,20000,20000,21000,20000,20110,20000,20200,20200,20200,20220,20200,20000,21010,20010,20110,20010,20010,20000,20100,20100,20000,21100,21100,21110,21100,21100,20100,20110,20100,20100,21100,20100,20100,20100,20110,20100,20100,20100,20100,20100,20110,20100,20100,20100,20102,21100,20100,20100,20100,20120,21000,20100,20000,20010,20000,20000,20002,20200,20200,20010,20020,20001,20000,20100,22000,22200,20000
pasar,22001,22101,22200,20000,20100,20101,22110,22011,22111,22011,22000,22000,22000,22000,22000,22000,22002,22100,22100,22000,22000,22000,22100,22010,22010,22000,22000,22010,22000,22000,22002,22000,22000,22010,22001,22001,22001,22011,22011,22001,22001,22222,22210,22200,22200,22210,22020,22000,22002,22000,22000,20000,20100,20000,20000,20000,20000,20100,20000,20002,20001,20200,20002,20000,20000,21000,21000,20000,20002,20000,20000,20002,20000,20000,20000,20020,20120,21000,20000,20000,20200,20000,20000,20000,21000,21020,21020,21000,21000,21000,21000,21000,20100,20000,20000,20000,20000,20100,20000,20000,20000,20100,20000,20100,20000,20100,20000,20100,21000,21000,20100,20000,20002,20000,20002,20020,20000,20100,21000,20000,20001,20000,20001,20001,20001,20001,20001,20200,20120,20000,20002,20000,20000,20000,20002,20002,20000,21021,21021,21021,21001,21001,20001,20001,20001,20001,21001,20001,20001,20101,20001,20001,20002,20001,20001,20001,20001,20001,20001,20001,20001,21001,20001,20001,20001,20101,21100,20002,20100,20100,20000,20000,20000,20001,20001,20100,20000,20000,20000,20001,22000,22011,20100
pasja,22000,22100,22200,20000,20100,20100,22101,22001,22101,22001,22000,22000,22000,22000,22000,22000,22000,22100,22100,22020,22000,22000,22100,22002,22002,22000,22000,22002,22000,22000,22000,22000,22020,22002,22000,22000,22000,22002,22002,22000,22000,22201,22222,22220,22200,22202,22001,22000,22000,22000,22000,20000,20100,20000,20000,20000,20000,20100,20000,20000,20000,20200,20000,20000,20000,21000,20002,20000,20000,20000,20000,20000,20020,20000,20000,21000,21100,20002,20000,20000,20200,20020,20000,20000,20002,21001,21001,21000,21000,21000,21000,21000,20100,20000,20000,20000,20000,20100,20000,20000,20000,20100,20000,20100,20000,20100,20000,20100,20002,20002,20100,20000,20000,20000,20000,21000,20000,20100,20002,20000,20000,20000,20000,20000,20000,20000,20000,20200,21100,20000,20000,20000,20020,20000,20000,20000,20000,21001,21001,21001,21000,21000,20000,20000,20000,20000,20002,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20000,20000,20000,20100,21100,20000,20100,20100,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,22000,22002,20100
pasje,22000,22100,22201,20001,20100,20100,22100,22000,22100,22000,22001,22000,22000,22000,22001,22002,22001,22101,22100,22022,22001,22001,22100,22000,22000,22001,22001,22000,22002,22000,22001,22000,22022,22000,22001,22001,22001,22000,22000,22000,22000,22200,22220,22222,22202,22200,22000,22000,22001,22000,22002,20001,20101,20001,20001,20001,20001,20101,20001,20001,20001,20201,20001,20001,20001,21000,21001,20001,20001,20001,20001,20001,20022,20001,20000,21000,21100,21000,20001,20001,20202,20022,20002,20001,21000,21000,21000,21000,21002,21000,21000,21000,20101,20001,20001,20001,20001,20101,20000,20001,20000,20100,20000,20100,20000,20100,20000,20100,21001,21001,20101,20001,20001,20001,20001,21000,20000,20100,21000,20001,20000,20001,20001,20002,20000,20000,20000,20201,21100,20001,20001,20000,20022,20002,20001,20001,20001,21000,21000,21000,21000,21000,20001,20001,20001,20001,21000,20002,20000,20100,20000,20000,20000,20001,20000,20000,20000,20000,20002,20000,20000,21000,20000,20000,20002,20100,21100,20001,20100,20100,20000,20000,20000,20002,20001,20102,20000,20000,20000,20000,22000,22000,20101
passe,22000,22100,22201,20001,20100,20100,22100,22000,22100,22000,22001,22000,22000,22000,22001,22002,22001,22101,22100,22002,22001,22001,22100,22000,22000,22001,22001,22000,22002,22000,22001,22000,22002,22000,22001,22001,22001,22000,22000,22000,22000,22200,22200,22202,22222,22200,22000,22000,22001,22000,22002,20001,20101,20001,20001,20001,20001,20101,20001,20001,20001,20201,20001,20001,20001,21000,21001,20001,20001,20001,20001,20001,20002,20001,20000,21000,21100,21000,20001,20001,20202,20002,20002,20001,21000,21000,21000,21000,21002,21000,21000,21000,20101,20001,20001,20001,20001,20101,20000,20001,20000,20100,20000,20100,20000,20100,20000,20100,21001,21001,20101,20001,20001,20001,20001,21000,20000,20100,21000,20001,20000,20001,20001,20002,20000,20000,20000,20211,21100,20001,20001,20000,20002,20002,20001,20001,20001,21000,21000,21000,21000,21000,20001,20001,20001,20001,21000,20002,20000,20100,20000,20000,20000,20001,20000,20000,20000,20000,20002,20000,20000,21000,20000,20000,20002,20100,21100,20001,20100,20020,20000,20000,20000,20002,20001,20022,20000,20000,20000,20000,22000,22000,20101
pasta,22000,22100,22200,20000,20100,20100,22101,22001,22101,22011,22000,22010,22000,22000,22000,22000,22000,22100,22100,22000,22000,22010,22120,22002,22002,22000,22000,22002,22000,22020,22000,22000,22000,22002,22000,22000,22010,22002,22002,22020,22020,22201,22202,22200,22200,22222,22011,22010,22010,22010,22000,20000,20100,20000,20000,20000,20000,20100,20000,20000,20000,20220,20010,20000,20000,21000,20002,20000,20000,20000,20000,20000,20000,20010,20000,21000,21100,20002,20000,20010,20220,20010,20020,20000,20002,21001,21011,21000,21000,21000,21000,21010,20100,20010,20000,20010,20000,20100,20010,20000,20000,20100,20000,20100,20010,20120,20000,20100,20002,20002,20120,20000,20000,20000,20000,21000,20000,20100,20002,20000,20010,20000,20000,20000,20000,20020,20000,20200,21110,20010,20010,20010,20010,20000,20000,20000,20000,21001,21001,21011,21000,21000,20000,20010,20000,20000,20002,20000,20000,20100,20010,20000,20000,20000,20000,20000,20010,20000,20000,20000,20000,20002,20000,20000,20000,20120,21100,20000,20100,20110,20000,20000,20000,20000,20000,20110,20020,20000,20000,20000,22000,22002,20100
patat,22000,22000,22000,20000,20000,20000,22010,22010,22010,22012,22000,22002,22000,22000,22000,22000,22000,22000,22000,22000,22000,22002,22100,22010,22010,22000,22000,22010,22000,22100,22000,22000,22000,22010,22000,22000,22002,22010,22010,22100,22100,22020,22010,22000,22000,22110,22222,22200,22200,22200,22000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20200,20000,20000,21000,21000,20000,20000,20000,20000,20000,20000,20002,20000,20020,20020,21000,20000,20002,20100,20200,20201,20000,21000,21020,21022,21000,21000,21000,21000,21002,20000,20002,20000,20002,20000,20000,20002,20000,20000,20000,20000,20000,20002,20100,20000,20000,21000,21000,20100,20000,20000,20000,20000,20020,20000,20000,21000,20000,20002,20000,20000,20000,20000,20100,20000,20000,20220,20200,20200,20200,20200,20000,20000,20000,20000,21020,21020,21022,21000,21000,20000,20002,20000,20000,21000,20000,20000,20000,20002,20000,20000,20000,20000,20000,20002,20000,20000,20000,20000,21000,20000,20000,20000,20100,21000,20000,20000,20002,20000,20000,20000,20000,20000,20200,20201,20000,20000,20000,22000,22010,20000
patch,22000,22000,22000,20000,20000,20000,22000,22000,22000,22100,22010,22111,22000,22000,22000,22000,22000,22000,22000,22000,22000,22100,22100,22000,22000,22000,22000,22000,22000,22100,22000,22000,22000,22000,22000,22000,22100,22000,22000,22100,22100,22000,22000,22000,22000,22100,22200,22222,22200,22200,22000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20200,20000,20000,21000,21000,20000,20000,20000,20000,20000,20000,20100,20000,21000,21000,21000,20000,20100,20100,20200,20200,20000,21000,21000,21100,21000,21000,21000,21000,21100,20000,20100,20000,20100,20000,20000,20100,20000,20000,20000,20000,20000,20100,20100,20000,20000,21001,21000,20100,20000,20000,20000,20000,21000,20000,20000,21000,20000,20100,20000,20000,20000,20000,20100,20000,20000,21200,20200,20200,20200,20200,20000,20000,20000,20000,21000,21000,21100,21000,21000,20000,20100,20000,20000,21000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,21000,20000,20000,20000,20100,21000,20000,20000,20100,20022,20000,20000,20000,20000,20200,20200,20000,20000,20000,22000,22000,20000
pater,22001,22001,22020,20020,20000,20001,22000,22001,22001,22101,22020,22100,22000,22000,22020,22010,22022,22020,22000,22010,22020,22120,22100,22000,22000,22020,22020,22000,22010,22100,22022,22000,22010,22000,22021,22021,22121,22001,22001,22101,22101,22002,22000,22010,22010,22100,22200,22200,22222,22200,22010,20020,20010,20020,20020,20020,20010,20010,20010,20022,20021,20110,20222,20020,20010,21000,21010,20020,20022,20020,20020,20022,20010,20120,20000,21000,21000,21000,20020,20120,20110,20210,20210,20020,21000,21000,21100,21000,21010,21000,21000,21100,20010,20120,20010,20110,20010,20010,20100,20020,20000,20000,20000,20000,20100,20100,20000,20000,21010,21010,20110,20020,20022,20020,20022,21000,20000,20000,21000,20020,20101,20020,20021,20011,20001,20101,20001,20020,21200,20220,20222,20200,20210,20010,20022,20022,20020,21001,21001,21101,21001,21001,20021,20111,20021,20021,21001,20011,20001,20001,20101,20001,20002,20021,20001,20001,20101,20001,20011,20001,20001,21001,20001,20001,20011,20101,21000,20022,20000,20100,20000,20000,20000,20021,20021,20210,20200,20000,20000,20001,22000,22001,20020
patio,22002,22000,22000,20001,20001,20020,22000,22000,22000,22100,22000,22100,22002,22000,22000,22020,22000,22000,22000,22000,22000,22100,22100,22000,22000,22000,22000,22000,22000,22100,22000,22020,22000,22000,22000,22000,22100,22020,22000,22100,22100,22000,22000,22000,22000,22100,22200,22200,22200,22222,22000,20000,20020,20000,20000,20000,20000,20020,20000,20000,20000,20102,20200,20000,20020,21012,21010,20000,20000,20000,20000,20000,20000,20110,20011,21010,21010,21010,20011,20110,20110,20210,20210,20010,21010,21000,21100,21020,21000,21000,21002,21100,20000,20100,20020,20120,20000,20000,20110,20001,20001,20001,20011,20001,20101,20101,20020,20020,21001,21001,20101,20001,20001,20001,20001,21001,20022,20021,21001,20001,20101,20001,20001,20021,20002,20102,20001,20001,21201,20201,20201,20221,20201,20001,20001,20001,20001,21000,21000,21100,21000,21000,20000,20100,20010,20010,21010,20010,20012,20010,20110,20011,20011,20001,20002,20001,20101,20011,20001,20002,20001,21001,20020,20020,20000,20100,21000,20000,20020,20110,20000,20020,20000,20000,20000,20200,20202,20001,20012,20000,22010,22000,20010
pauze,22000,22000,22001,20001,20000,20200,22000,22000,22000,22000,22001,22000,22000,22000,22001,22002,22001,22001,22000,22002,22001,22001,22000,22000,22000,22001,22001,22000,22002,22000,22001,22000,22002,22000,22001,22001,22001,22000,22000,22000,22000,22000,22000,22002,22002,22000,22000,22000,22001,22000,22222,20001,20001,20001,20001,20001,20101,20001,20001,20001,20001,20001,20001,20011,20011,21000,21001,20001,20001,20001,20001,20001,20002,20001,20000,21000,21000,21000,20001,20001,20002,20002,20002,20001,21020,21000,21000,21000,21002,21000,21000,21000,20001,20001,20001,20001,20001,20001,20000,20001,20000,20000,20000,20000,20000,20000,20200,20200,21001,21001,20001,20001,20001,20001,20001,21000,20000,20000,21000,20001,20000,20001,20001,20002,20000,20000,20100,20001,21000,20001,20001,20000,20002,20202,20001,20001,20011,21000,21000,21000,21000,21100,20001,20001,20001,20001,21000,20002,20000,20000,20000,20000,20000,20001,20000,20000,20000,20000,20002,20000,20000,21020,20200,20200,20202,20200,21000,20101,20100,20100,20100,20100,20100,20102,20101,20102,20100,20000,20000,20200,22000,22000,20001
pedel,20000,20000,20020,20021,20001,20000,20000,20100,20000,20000,20020,20000,20200,20200,20220,21200,20020,20020,20000,21000,20021,20021,20001,20000,20100,20022,20020,20000,21000,20000,20020,20002,21000,20000,20022,20020,20020,20000,20000,20000,20000,20000,20000,21000,21000,20000,20000,20000,20020,20000,21000,22222,22200,22022,22022,22021,22001,22000,22000,22020,22020,22000,22020,22020,22000,20000,21000,20021,20021,20020,20020,20020,21000,20020,20002,20001,20000,20100,20020,20020,21000,21000,21000,20022,20000,20001,20001,20101,21001,20001,20001,20001,21001,21021,21001,21001,21001,21001,20001,20021,20001,20001,20001,20001,20001,20001,20001,20001,21000,21000,21000,20020,20020,20020,20020,20001,20001,20001,20001,20020,20000,20022,20020,21000,20000,20000,20000,20020,20000,20020,20020,20000,21000,21001,20020,20020,20020,20002,20000,20000,20000,20000,21020,21000,20022,20020,20000,21000,20000,20000,20000,20000,20000,20020,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,21000,20000,20001,20020,20000,20000,20000,20002,20000,21020,20020,21000,20000,20001,20000,20001,20000,20000,22020
pedis,20000,20002,21001,21000,20002,20022,20002,20100,20002,20000,21000,20000,20200,20200,21200,21220,21000,21002,20002,21000,21000,21000,20002,20000,20100,21000,21000,20000,21000,20000,21000,20020,21000,20000,21000,21000,21000,20020,20000,20000,20000,20001,20001,21001,21001,20001,20000,20000,21000,20020,21000,22200,22222,22000,22000,22000,22000,22022,22000,22000,22000,22001,22000,22000,22020,20010,21010,21000,21000,21000,21000,21000,21000,21010,20010,20010,20012,20110,21010,21010,21011,21010,21010,21010,20010,20000,20000,20120,21000,20000,20000,20000,21002,21000,21020,21020,21000,21002,20010,21000,20000,20002,20010,20002,20000,20002,20020,20022,21000,21000,21002,21000,21000,21000,21000,20000,20020,20022,20000,21000,20000,21000,21000,21020,20000,20000,20000,21002,20002,21000,21000,20020,21000,21000,21000,21000,21000,20000,20000,20000,20000,20000,21000,21000,21010,21010,20010,21010,20010,20012,20010,20010,20010,21000,20000,20000,20000,20010,21000,20000,20000,20000,20020,20020,21000,20002,20001,21000,20022,20011,20000,20020,20000,21000,21000,21001,20000,20000,20010,20000,20010,20000,22012
pegel,20000,20000,20020,20021,20001,20000,20000,20000,20000,20000,20020,20000,20000,20000,20020,21000,20220,20220,20000,21000,20021,20021,20001,20000,20000,20022,20020,20000,21000,20000,20020,20002,21000,20000,20022,20020,20020,20000,20000,20000,20000,20000,20000,21000,21000,20000,20000,20000,20020,20000,21000,22022,22000,22222,22022,22021,22001,22000,22000,22020,22020,22000,22020,22020,22100,20000,21000,20021,20021,20020,20020,20020,21000,20020,20002,20001,20000,20000,20020,20020,21000,21000,21000,20022,20000,20101,20001,20001,21001,20001,20001,20001,21001,21021,21001,21001,21001,21001,20001,20121,20001,20001,20001,20001,20001,20001,20001,20001,21000,21000,21000,20220,20220,20020,20020,20001,20001,20001,20001,20020,20000,20022,20020,21000,20000,20000,20000,20020,20000,20020,20020,20100,21000,21001,20020,20020,20020,20002,20000,20000,20100,20000,21020,21000,20022,20020,20000,21000,20000,20000,20000,20000,20000,20020,20000,20000,20000,20000,21000,20000,20000,20000,20000,20000,21000,20000,20001,20020,20000,20000,20000,20002,20000,21020,20020,21000,20000,20001,20100,20001,20100,20000,22020
pekel,20000,20000,20020,20021,20001,20000,20000,20000,20000,20000,20020,20000,20000,20000,20020,21000,20020,20020,20200,21200,20021,20021,20001,20000,20000,20022,20020,20000,21000,20000,20020,20002,21000,20000,20022,20020,20020,20000,20100,20000,20000,20000,20000,21000,21000,20000,20000,20000,20020,20000,21000,22022,22000,22022,22222,22021,22001,22000,22000,22020,22020,22000,22020,22020,22000,20000,21000,20021,20021,20020,20020,20020,21000,20220,20202,20001,20000,20000,20020,20020,21000,21000,21000,20022,20000,20001,20001,20001,21001,20101,20001,20001,21001,21021,21001,21001,21001,21001,20001,20021,20001,20001,20001,20001,20001,20001,20001,20001,21000,21000,21000,20020,20020,20220,20220,20101,20001,20001,20101,20020,20000,20022,20020,21000,20000,20000,20000,20020,20000,20020,20020,20000,21000,21001,20020,20020,20020,20002,20000,20000,20000,20000,21120,21000,20022,20020,20000,21000,20000,20000,20000,20000,20000,20020,20000,20100,20000,20000,21000,20000,20000,20000,20100,20000,21000,20000,20001,20020,20000,20000,20000,20002,20000,21020,20020,21000,20000,20001,20000,20101,20000,20000,22020
pelen,20000,20000,20022,20222,20100,20000,20000,20000,20000,20000,20022,20000,20000,20000,20022,21000,20020,20020,20000,21000,20222,20220,20200,20000,20001,20121,20022,20001,21001,20001,20020,20100,21000,20000,20120,20022,20020,20000,20000,20000,20000,20000,20000,21000,21000,20000,20000,20000,20020,20000,21000,22120,22000,22120,22120,22222,22200,22001,22001,22020,22022,22000,22020,22022,22000,20001,21000,20222,20220,20022,20022,20020,21000,20020,20100,20200,20001,20001,20022,20020,21000,21000,21000,20120,20000,20100,20100,20100,21101,20101,20101,20101,21100,21120,21102,21100,21100,21101,20101,20120,20100,20101,20100,20100,20100,20100,20100,20100,21000,21000,21000,20022,20020,20022,20020,20200,20200,20200,20200,20021,20000,20120,20020,21000,20001,20000,20000,20020,20000,20022,20020,20000,21000,21100,20020,20020,20022,20100,20000,20000,20001,20000,21020,21001,20120,20020,20000,21000,20000,20001,20001,20002,20000,20020,20000,20001,20001,20000,21000,20000,20000,20000,20000,20000,21001,20000,20100,20020,20000,20000,20001,20100,20000,21020,20022,21000,20000,20202,20001,20100,20001,20000,22020
peluw,20000,20000,21000,21200,20100,20010,20000,20000,20000,20000,21000,20000,20000,20000,21000,21000,21000,21000,20000,21000,21200,21200,20200,20000,20000,21100,21000,20000,21000,20000,21000,20100,21000,20000,21100,21000,21000,20000,20000,20000,20000,20000,20000,21000,21000,20000,20000,20000,21000,20000,21010,22100,22000,22100,22100,22200,22222,22000,22000,22000,22000,22000,22000,22000,22000,20000,21000,21200,21200,21000,21000,21000,21000,21000,20100,20200,20000,20000,21000,21000,21000,21000,21000,21100,20000,20100,20100,20100,21100,20100,20100,20100,21100,21100,21100,21100,21100,21100,20100,21100,20100,20100,20100,20100,20100,20100,20110,20110,21000,21000,21000,21000,21000,21000,21000,20200,20200,20200,20200,21000,20000,21100,21000,21000,20000,20000,20020,21000,20000,21000,21000,20000,21000,21110,21000,21001,21000,20100,20000,20000,20000,20022,21000,21000,21100,21000,20000,21000,20000,20000,20000,20000,20000,21000,20000,20000,20000,20000,21000,20000,20000,20000,20010,20010,21010,20010,20100,21010,20010,20010,20010,20110,20010,21010,21010,21010,20010,20200,20000,20110,20000,20001,22000
penis,20000,20002,21101,21100,20002,20022,20002,20000,20002,20000,21100,20000,20000,20000,21100,21020,21000,21002,20002,21000,21100,21000,20002,20000,20200,21200,21200,20200,21200,20200,21000,20020,21000,20000,21000,21100,21000,20020,20000,20000,20000,20001,20001,21001,21001,20001,20000,20000,21000,20020,21000,22000,22022,22000,22000,22100,22000,22222,22200,22000,22100,22001,22000,22100,22020,20110,21010,21100,21000,21200,21100,21000,21000,21010,20010,20010,20212,20210,21110,21010,21011,21010,21010,21010,20010,20000,20000,20020,21100,20100,20100,20100,21002,21000,21120,21020,21000,21102,20110,21000,20000,20102,20010,20002,20000,20002,20020,20022,21000,21000,21002,21100,21000,21100,21000,20000,20020,20022,20000,21200,20000,21000,21000,21020,20100,20000,20000,21002,20002,21100,21000,20020,21000,21000,21000,21000,21100,20000,20000,20000,20100,20000,21000,21100,21010,21010,20010,21010,20010,20112,20110,20110,20010,21000,20000,20100,20100,20010,21000,20000,20000,20000,20020,20020,21100,20002,20001,21000,20022,20011,20200,20020,20000,21000,21100,21001,20000,20100,20210,20000,20210,20000,22012
penny,20000,20000,21100,21100,20000,20000,20000,20000,20000,20000,21100,20000,20000,20002,21100,21000,21000,21000,20000,21000,21100,21000,20000,20000,20200,21200,21210,20220,21220,20202,21000,20000,21000,20000,21000,21100,21000,20000,20000,20000,20002,20000,20000,21000,21000,20000,20000,20000,21000,20000,21000,22000,22000,22000,22000,22100,22000,22200,22222,22000,22100,22000,22000,22100,22000,20020,21000,21100,21000,21210,21100,21000,21000,21000,20000,20000,20200,20200,21100,21000,21000,21000,21000,21000,20000,20000,20000,20000,21020,20020,20020,20020,21000,21000,21100,21000,21000,21020,20020,21000,20000,20020,20000,20000,20000,20000,20000,20000,21000,21000,21000,21100,21000,21100,21000,20000,20000,20000,20000,21200,20000,21000,21000,21000,20020,20000,20000,21000,20000,21100,21000,20000,21000,21000,21000,21000,21100,20000,20000,20000,20020,20000,21000,21020,21000,21000,20000,21000,20000,20020,20020,20100,20000,21000,20000,20020,20020,20000,21000,20000,20002,20000,20000,20000,21020,20000,20000,21000,20000,20000,20200,20000,20002,21000,21100,21000,20000,20101,20200,20000,20200,20000,22000
peper,20001,20001,20020,20020,20000,20001,20100,20001,20001,20001,20020,20000,20000,20000,20020,21000,20022,20020,20000,21000,20020,20020,20000,20100,20000,20020,20020,20000,21000,20000,20222,20200,21200,20200,20021,20021,20021,20001,20001,20001,20001,20002,20000,21000,21000,20000,20000,20000,20022,20000,21000,22020,22000,22020,22020,22020,22000,22000,22000,22222,22021,22000,22022,22020,22000,20000,21100,20020,20022,20020,20220,20222,21200,20020,20000,20000,20000,20000,20020,20220,21000,21000,21000,20020,20000,20000,20000,20000,21000,20000,20000,20000,21000,21020,21000,21000,21100,21000,20000,20020,20100,20000,20000,20000,20000,20000,20000,20000,21000,21000,21000,20020,20022,20020,20022,20000,20000,20000,20000,20020,20001,20220,20021,21001,20001,20001,20001,20020,20000,20020,20022,20000,21000,21000,20022,20022,20020,20001,20001,20001,20001,20001,21021,21001,20021,20021,20001,21001,20001,20001,20001,20001,20002,20021,20001,20001,20001,20001,21001,20001,20001,20001,20001,20001,21001,20001,20000,20022,20000,20000,20000,20200,20200,21021,20021,21000,20000,20000,20000,20001,20000,20001,22020
peren,20200,20200,20022,20022,20000,20100,20000,20100,20100,20100,20022,20000,20000,20000,20022,21000,20120,20020,20000,21000,20022,20020,20000,20000,20001,20021,20022,20001,21001,20001,20120,20000,21000,20000,20220,20222,20220,20200,20200,20200,20200,20100,20000,21000,21000,20000,20000,20000,20120,20000,21000,22020,22000,22020,22020,22022,22000,22001,22001,22120,22222,22000,22120,22022,22000,20001,21000,20022,20120,20022,20022,20120,21000,20020,20000,20000,20001,20001,20022,20020,21000,21000,21000,20020,20000,20000,20000,20000,21001,20001,20001,20001,21000,21020,21002,21000,21000,21001,20001,20020,20000,20001,20000,20000,20000,20000,20000,20000,21000,21000,21000,20022,20120,20022,20120,20000,20000,20000,20000,20021,20100,20020,20220,21200,20201,20200,20200,20020,20000,20022,20120,20000,21000,21000,20120,20120,20022,20100,20100,20100,20101,20100,21120,21101,20120,20120,20100,21100,20100,20101,20101,20102,20100,20120,20100,20101,20101,20100,21100,20100,20100,20100,20100,20100,21101,20100,20000,20120,20000,20000,20001,20000,20000,21220,20222,21000,20000,20002,20001,20100,20001,20200,22020
