Guess,finse,frank,frans,fries,fabel,facet,facie,facit,facta,fagot,faire,faken,fakir,falen,falie,farad,farao,farce,farde,fasen,fases,fatum,fatwa,fauna,faxen,feces,feeks,feest,femel,fenol,ferry,fiber,fiche,fichu,ficus,fielt,fiets,f1fel,f1nte,filet,fiool,firma,fitis,fjord,flair,flank,flard,flash,flauw,fleer,flens,flets,fleur,flink,flirt,flits,floep,floer,floot,flora,floss,fluim,fluit,fluks,fluor,flyer,fobie,focus,foert,folie,folio,folky,fonds,forel,forma,forte,forto,forum,fossa,foton,foyer,fraai,frame,franc,frank,frase,frats,freak,frees,freon,fries,friet,frigo,frons,front,fruit,fundi,funky,furie,fusee,fusie,futon,fylum,frust,fysio
fatwa,20000,21000,21000,20000,22000,22100,22000,22100,22102,22100,22000,22000,22000,22000,22000,22001,22001,22000,22000,22000,22000,22200,22222,22002,22000,20000,20000,20100,20000,20000,20000,20000,20000,20000,20000,20100,20100,20000,20100,20100,20000,20002,20200,20000,21000,21000,21000,21000,21010,20000,20000,20100,20000,20000,20100,20100,20000,20000,20100,20002,20000,20000,20100,20000,20000,20000,20000,20000,20100,20000,20000,20000,20000,20000,20002,20100,20100,20000,20002,20200,20000,21001,21000,21000,21000,21000,21100,21000,20000,20000,20000,20100,20000,20000,20100,20100,20000,20000,20000,20000,20000,20200,20000,20100,20000
fauna,20010,21020,21020,20000,22000,22000,22000,22000,22002,22000,22000,22010,22000,22010,22000,22001,22001,22000,22000,22010,22000,22100,22002,22222,22010,20000,20000,20000,20000,20010,20000,20000,20000,20100,20100,20000,20000,20000,20010,20000,20000,20002,20000,20000,21000,21020,21000,21000,21100,20000,20020,20000,20100,20020,20000,20000,20000,20000,20000,20002,20000,20200,20200,20200,20200,20000,20000,20100,20000,20000,20000,20000,20010,20000,20002,20000,20000,20100,20002,20010,20000,21001,21000,21020,21020,21000,21000,21000,20000,20010,20000,20000,20000,20020,20020,20200,20110,20110,20100,20100,20100,20110,20100,20200,20000
faxen,20011,21001,21001,20020,22020,22020,22010,22000,22000,22000,22010,22022,22000,22022,22010,22000,22000,22010,22010,22022,22020,22000,22000,22001,22222,20020,20010,20010,20020,20011,20010,20020,20010,20000,20000,20010,20010,20020,20011,20020,20000,21000,20000,20000,21000,21001,21000,21000,21000,20020,20011,20010,20010,20001,20000,20000,20020,20020,20000,21000,20000,20000,20000,20000,20000,20020,20010,20000,20010,20010,20000,20000,20001,20020,21000,20010,20000,20000,21000,20002,20020,21000,21010,21001,21001,21010,21000,21010,20020,20012,20020,20020,20000,20001,20001,20000,20001,20001,20010,20020,20010,20002,20000,20000,20000
feces,21001,20000,20002,20022,20020,20220,21200,20200,20200,20000,21000,20020,20000,20020,21000,20000,20000,21100,21000,20021,20022,20000,20000,20000,20020,22222,22012,22011,22020,22000,22000,20020,21200,20200,20202,21000,21002,20020,21000,20020,20000,20000,20002,20000,20000,20000,20000,20001,20000,21020,21002,21002,21000,20000,20000,20002,20020,20020,20000,20000,20002,20000,20000,20002,20000,20020,21000,20202,21000,21000,20000,20000,20002,20020,20000,21000,20000,20000,20001,20000,20020,20000,21000,20100,20000,21001,20002,21000,21022,21000,20022,20020,20000,20002,20000,20000,20000,20000,21000,21021,21001,20000,20000,20001,20001
feeks,21001,20010,20002,21002,21000,21000,21000,20000,20000,20000,21000,21010,20010,21000,21000,20000,20000,21000,21000,21001,21002,20000,20000,20000,21000,22102,22222,22201,22100,22000,22000,21000,21000,20000,20002,20200,20202,21000,21000,21000,20000,20000,20002,20000,20000,20010,20000,20001,20000,21200,20202,20202,20200,20010,20000,20002,21000,21000,20000,20000,20002,20000,20000,20022,20000,21000,21000,20002,20200,21000,20000,20020,20002,21000,20000,21000,20000,20000,20001,20000,21000,20000,21000,20000,20010,21001,20002,20210,21202,20200,21002,21000,20000,20002,20000,20000,20000,20020,21000,21101,21001,20000,20000,20001,20001
feest,21020,20000,20010,21010,21000,21002,21000,20002,20001,20002,21000,21000,20000,21000,21000,20000,20000,21000,21000,21010,21010,20001,20001,20000,21000,22110,22210,22222,22100,22000,22000,21000,21000,20000,20010,20202,20211,21000,21001,21002,20000,20000,20011,20000,20000,20000,20000,20020,20000,21200,20210,20211,20200,20000,20002,20011,21000,21000,20002,20000,20020,20000,20002,20010,20000,21000,21000,20010,20202,21000,20000,20000,20010,21000,20000,21001,20001,20000,20020,20001,21000,20000,21000,20000,20000,21020,20011,20200,21210,20200,21010,21002,20000,20010,20002,20002,20000,20000,21000,21110,21010,20001,20000,20022,20010
femel,21000,20000,20000,20020,20022,20020,21000,20000,20000,20000,21000,20020,20000,20021,21001,20000,20000,21000,21000,20020,20020,20100,20000,20000,20020,22020,22010,22010,22222,22002,22000,20020,21000,20000,20000,21001,21000,20022,21000,20021,20002,20100,20000,20000,20001,20001,20001,20001,20001,21021,21001,21001,21001,20001,20001,20001,20021,20021,20001,20001,20001,20101,20001,20001,20001,20021,21000,20000,21000,21001,20001,20001,20000,20022,20100,21000,20000,20100,20000,20000,20020,20000,21100,20000,20000,21000,20000,21000,21020,21000,20020,20020,20000,20000,20000,20000,20000,20000,21000,21020,21000,20000,20101,20000,20000
fenol,21200,20100,20100,21000,21002,21000,21000,20000,20000,20020,21000,21100,20000,21101,21001,20000,20010,21000,21000,21100,21000,20000,20000,20100,21100,22000,22000,22000,22002,22222,22000,21000,21000,20000,20000,21001,21000,21002,21200,21001,20022,20000,20000,20010,20001,20101,20001,20001,20001,21001,21101,21001,21001,20101,20001,20001,21011,21011,20021,20011,20011,20001,20001,20001,20021,21001,21010,20010,21010,21011,20011,20011,20210,21012,20010,21010,20010,20010,20010,20120,21010,20000,21000,20100,20100,21000,20000,21000,21000,21120,21000,21000,20010,20110,20110,20000,20200,20200,21000,21000,21000,20120,20001,20000,20010
ferry,21000,20100,20100,21100,21000,21000,21000,20000,20000,20000,21020,21000,20100,21000,21000,20200,20200,21200,21200,21000,21000,20000,20000,20000,21000,22000,22000,22000,22000,22000,22222,21100,21000,20000,20000,21000,21000,21000,21000,21000,20000,20200,20000,20020,20100,20000,20020,20000,20000,21100,21000,21000,21100,20000,20020,20000,21000,21100,20000,20020,20000,20000,20000,20000,20100,21101,21000,20000,21020,21000,20000,20002,20000,21200,20200,21200,20200,20200,20000,20000,21101,20100,21100,20100,20100,21100,20100,21100,21100,21100,21100,21100,20100,20100,20100,20100,20000,20002,21200,21000,21000,20000,20001,20100,20001
fiber,22010,20001,20001,21021,20220,20020,21010,21000,20000,20000,21011,20020,21002,20020,21010,20001,20001,20011,20011,20020,20020,20000,20000,20000,20020,20020,20010,20010,20020,20010,20011,22222,22010,22000,22000,22010,22010,20020,20010,22020,22000,22001,22000,20001,21002,20000,20001,20000,20000,20022,20010,20010,20012,21000,21001,21000,20020,20022,20000,20001,20000,21000,21000,20000,20002,20022,21210,20000,20011,21010,21000,20000,20000,20021,20001,20011,20001,20001,20000,20000,20022,21001,20011,20001,20001,20011,20001,20011,20021,20011,21021,21021,21001,20001,20001,21001,21000,20000,21011,20020,21010,20000,20000,20001,21000
fiche,22002,20000,20000,21001,20001,20201,21202,21200,20200,20000,21002,20001,21000,20001,21002,20000,20000,20102,20002,20001,20001,20000,20000,20000,20001,20201,20001,20001,20001,20001,20001,22001,22222,22220,22200,22001,22001,20001,20002,22001,22000,22000,22000,20000,21000,20000,20000,20010,20000,20001,20001,20001,20001,21000,21000,21000,20001,20001,20000,20000,20000,21000,21000,20000,20000,20001,21002,20200,20001,21002,21000,20000,20000,20001,20000,20002,20000,20000,20000,20000,20001,21000,20002,20100,20000,20002,20000,20001,20001,20001,21001,21001,21000,20000,20000,21000,21000,20000,21002,20002,21002,20000,20000,20000,21000
fichu,22000,20000,20000,21000,20000,20200,21200,21200,20200,20000,21000,20000,21000,20000,21000,20000,20000,20100,20000,20000,20000,20001,20000,20001,20000,20200,20000,20000,20000,20000,20000,22000,22220,22222,22201,22000,22000,20000,20000,22000,22000,22000,22000,20000,21000,20000,20000,20010,20001,20000,20000,20000,20001,21000,21000,21000,20000,20000,20000,20000,20000,21001,21001,20001,20001,20000,21000,20201,20000,21000,21000,20000,20000,20000,20000,20000,20000,20001,20000,20000,20000,21000,20000,20100,20000,20000,20000,20000,20000,20000,21000,21000,21000,20000,20000,21001,21001,20001,21001,20001,21001,20001,20001,20001,21000
ficus,22001,20000,20002,21002,20000,20200,21200,21200,20200,20000,21000,20000,21000,20000,21000,20000,20000,20100,20000,20001,20002,20020,20000,20010,20000,20202,20002,20001,20000,20000,20000,22000,22200,22210,22222,22000,22002,20000,20000,22000,22000,22000,22002,20000,21000,20000,20000,20001,20020,20000,20002,20002,20020,21000,21000,21002,20000,20000,20000,20000,20002,21010,21010,20012,20010,20000,21000,20222,20000,21000,21000,20000,20002,20000,20000,20000,20000,20020,20001,20000,20000,21000,20000,20100,20000,20001,20002,20000,20002,20000,21002,21000,21000,20002,20000,21010,21010,20010,21010,20011,21011,20010,20020,20011,21001
fielt,22100,20000,20000,21100,20110,20102,21100,21002,20001,20002,21100,20100,21000,20110,21110,20000,20000,20100,20100,20100,20100,20001,20001,20000,20100,20100,20200,20202,20110,20110,20100,22100,22100,22000,22000,22222,22201,20110,20101,22112,22010,22000,22001,20000,21010,20010,20010,20010,20010,20210,20210,20211,20210,21010,21012,21011,20110,20110,20012,20010,20010,21010,21012,20010,20010,20110,21100,20000,20202,21110,21010,20010,20000,20110,20000,20101,20001,20000,20000,20001,20100,21000,20100,20000,20000,20100,20001,20200,20200,20200,21100,21102,21000,20000,20002,21002,21000,20000,21100,20100,21100,20001,20010,20002,21000
fiets,22101,20000,20002,21102,20100,20110,21100,21010,20020,20010,21100,20100,21000,20100,21100,20000,20000,20100,20100,20101,20102,20010,20010,20000,20100,20102,20202,20211,20100,20100,20100,22100,22100,22000,22002,22210,22222,20100,20120,22110,22000,22000,22012,20000,21000,20000,20000,20001,20000,20200,20202,20222,20200,21000,21010,21022,20100,20100,20010,20000,20002,21000,21010,20002,20000,20100,21100,20002,20210,21100,21000,20000,20002,20100,20000,20120,20020,20000,20001,20010,20100,21000,20100,20000,20000,20101,20022,20200,20202,20200,21102,21110,21000,20002,20010,21010,21000,20000,21100,20101,21101,20010,20000,20011,21001
f1fel,20010,20000,20000,20020,20022,20020,20010,20000,20000,20000,20010,20020,20000,20021,20011,20000,20000,20010,20010,20020,20020,20000,20000,20000,20020,20020,20010,20010,20022,20012,20010,20020,20010,20000,20000,20011,20010,22222,22010,20021,20002,20000,20000,20000,20001,20001,20001,20001,20001,20021,20011,20011,20011,20001,20001,20001,20021,20021,20001,20001,20001,20001,20001,20001,20001,20021,20010,20000,20010,20011,20001,20001,20000,20022,20000,20010,20000,20000,20000,20000,20020,20000,20010,20000,20000,20010,20000,20010,20020,20010,20020,20020,20000,20000,20000,20000,20000,20000,20010,20020,20010,20000,20001,20000,20000
f1nte,20202,20100,20100,20001,20001,20011,20002,20010,20020,20010,20002,20101,20000,20101,20002,20000,20000,20002,20002,20101,20001,20010,20010,20100,20101,20001,20001,20011,20001,20201,20001,20001,20002,20000,20000,20011,20021,22001,22222,20011,20000,20000,20010,20000,20000,20100,20000,20000,20000,20001,20101,20021,20001,20100,20010,20020,20001,20001,20010,20000,20000,20000,20010,20000,20000,20001,20002,20000,20011,20002,20000,20000,20200,20001,20000,20022,20020,20000,20000,20110,20001,20000,20002,20100,20100,20002,20020,20001,20001,20101,20001,20011,20000,20100,20110,20010,20200,20200,20002,20002,20002,20110,20000,20010,20000
filet,22010,20000,20000,21020,20120,20022,21010,21002,20001,20002,21010,20020,21000,20220,21210,20000,20000,20010,20010,20020,20020,20001,20001,20000,20020,20020,20010,20012,20120,20110,20010,22020,22010,22000,22000,22112,22011,20120,20011,22222,22100,22000,22001,20000,21100,20100,20100,20100,20100,20120,20110,20111,20110,21100,21102,21101,20120,20120,20102,20100,20100,21100,21102,20100,20100,20120,21010,20000,20012,21210,21200,20200,20000,20120,20000,20011,20001,20000,20000,20001,20020,21000,20010,20000,20000,20010,20001,20010,20020,20010,21020,21022,21000,20000,20002,21002,21000,20000,21010,20020,21010,20001,20200,20002,21000
fiool,22000,20000,20000,21000,20002,20000,21000,21000,20000,20020,21000,20000,21000,20001,21001,20000,20100,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20002,20022,20000,22000,22000,22000,22000,22001,22000,20002,20000,22001,22222,22000,22000,20200,21001,20001,20001,20001,20001,20001,20001,20001,20001,21001,21001,21001,20201,20201,20221,20201,20201,21001,21001,20001,20021,20001,21100,20100,20100,21101,21111,20101,20100,20102,20100,20100,20110,20100,20100,20120,20100,21000,20000,20000,20000,20000,20000,20000,20000,20020,21000,21000,21100,20200,20200,21000,21000,20000,21000,20000,21000,20020,20001,20000,21100
firma,22000,20101,20101,21100,20001,20001,21001,21001,20002,20001,21101,20001,21101,20001,21001,20201,20201,20201,20201,20001,20001,20011,20002,20002,20001,20000,20000,20000,20010,20000,20200,22100,22000,22000,22000,22000,22000,20000,20000,22000,22000,22222,22000,20100,21101,20001,20101,20001,20001,20100,20000,20000,20100,21000,21100,21000,20000,20100,20000,20102,20000,21010,21000,20000,20100,20100,21000,20000,20100,21000,21000,20000,20000,20200,20222,20200,20200,20210,20002,20000,20100,21101,20121,20101,20101,20101,20101,20101,20100,20100,21100,21100,21100,20100,20100,21100,21000,20000,21200,20000,21000,20000,20010,20100,21000
fitis,22001,20000,20002,21002,20000,20100,20020,20120,20100,20100,21000,20000,20020,20000,20020,20000,20000,20000,20000,20001,20002,20200,20200,20000,20000,20002,20002,20101,20000,20000,20000,22000,22000,22000,22002,22100,22102,20000,20100,22100,22000,22000,22222,20000,20020,20000,20000,20001,20000,20000,20002,20102,20000,21000,21100,21102,20000,20000,20100,20000,20002,20020,20120,20002,20000,20000,20020,20002,20100,20020,20020,20000,20002,20000,20000,20100,20100,20000,20001,20200,20000,21000,20000,20000,20000,20001,20102,20000,20002,20000,21002,21100,21000,20002,20100,20120,21000,20000,20020,20001,20021,20200,20000,20101,20021
fjord,20000,20010,20010,20010,20000,20000,20000,20000,20000,20100,20020,20000,20010,20000,20000,20012,20110,20010,20011,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20100,20020,20010,20000,20000,20000,20000,20000,20000,20000,20000,20200,20010,20000,22222,20010,20000,20022,20000,20000,20010,20000,20000,20010,20000,20020,20000,20200,20210,20200,20220,20200,20000,20000,20000,20110,20010,20100,20100,20120,20100,20100,20100,20101,20110,20110,20110,20110,20110,20100,20100,20110,20010,20010,20010,20010,20010,20010,20010,20010,20110,20010,20010,20110,20210,20210,20010,20001,20000,20010,20000,20000,20100,20000,20010,20100
flair,20010,20201,20201,20011,21100,20100,20120,20120,20100,20100,20111,20100,20122,21100,21120,20101,20101,20101,20101,20100,20100,20100,20100,20100,20100,20000,20000,20000,21000,21000,20001,20012,20010,20010,20010,21010,20010,21000,20000,21010,21010,20111,20020,20001,22222,22200,22201,22200,22200,22002,22000,22000,22002,22010,22011,22010,22000,22002,22000,22101,22000,22020,22020,22000,22002,22002,20020,20000,20001,21020,21020,21000,20000,21001,20101,20001,20001,20001,20100,20000,20002,20211,20201,20201,20201,20201,20201,20101,20001,20001,20011,20011,20011,20001,20001,20021,20010,20000,20021,20000,20020,20000,21000,20001,20020
flank,20010,20222,20220,20000,21100,20100,20100,20100,20100,20100,20100,20111,20101,21110,21100,20100,20100,20100,20100,20110,20100,20100,20100,20120,20110,20000,20001,20000,21000,21010,20000,20000,20000,20000,20000,21000,20000,21000,20010,21000,21000,20100,20000,20000,22200,22222,22200,22200,22200,22000,22020,22000,22000,22022,22000,22000,22000,22000,22000,22100,22000,22000,22000,22001,22000,22000,20000,20000,20000,21000,21000,21001,20010,21000,20100,20000,20000,20000,20100,20010,20000,20200,20200,20220,20222,20200,20200,20102,20000,20010,20000,20000,20000,20020,20020,20000,20010,20011,20000,20000,20000,20010,21000,20000,20000
flard,20000,20210,20210,20010,21100,20100,20100,20100,20100,20100,20120,20100,20110,21100,21100,20112,20110,20110,20111,20100,20100,20100,20100,20100,20100,20000,20000,20000,21000,21000,20020,20010,20000,20000,20000,21000,20000,21000,20000,21000,21000,20110,20000,20022,22210,22200,22222,22200,22200,22010,22000,22000,22010,22000,22020,22000,22000,22010,22000,22120,22000,22000,22000,22000,22010,22010,20000,20000,20020,21000,21000,21000,20001,21010,20110,20010,20010,20010,20100,20000,20010,20210,20210,20210,20210,20210,20210,20110,20010,20010,20010,20010,20010,20010,20010,20010,20001,20000,20010,20000,20000,20000,21000,20010,20000
flash,20020,20200,20210,20010,21100,20100,20100,20100,20100,20100,20100,20100,20100,21100,21100,20100,20100,20100,20100,20110,20110,20100,20100,20100,20100,20010,20010,20020,21000,21000,20000,20000,20001,20001,20010,21000,20010,21000,20000,21000,21000,20100,20010,20000,22200,22200,22200,22222,22200,22000,22010,22010,22000,22000,22000,22010,22000,22000,22000,22100,22020,22000,22000,22010,22000,22000,20000,20010,20000,21000,21000,21000,20010,21000,20100,20000,20000,20000,20120,20000,20000,20200,20200,20200,20200,20220,20210,20100,20010,20000,20010,20000,20000,20010,20000,20000,20000,20000,20000,20010,20010,20000,21000,20020,20010
flauw,20000,20200,20200,20000,21100,20100,20100,20100,20100,20100,20100,20100,20100,21100,21100,20100,20100,20100,20100,20100,20100,20120,20101,20110,20100,20000,20000,20000,21000,21000,20000,20000,20000,20010,20020,21000,20000,21000,20000,21000,21000,20100,20000,20000,22200,22200,22200,22200,22222,22000,22000,22000,22020,22000,22000,22000,22000,22000,22000,22100,22000,22010,22010,22010,22010,22000,20000,20020,20000,21000,21000,21000,20000,21000,20100,20000,20000,20020,20100,20000,20000,20200,20200,20200,20200,20200,20200,20100,20000,20000,20000,20000,20000,20000,20000,20010,20010,20010,20010,20010,20010,20010,21020,20010,20000
fleer,20100,20001,20001,20021,21020,20020,20100,20000,20000,20000,20101,20020,20002,21020,21100,20001,20001,20101,20101,20020,20020,20000,20000,20000,20020,20120,20210,20210,21120,21100,20101,20022,20100,20000,20000,21200,20200,21020,20100,21020,21000,20001,20000,20001,22002,22000,22001,22000,22000,22222,22200,22200,22202,22000,22001,22000,22020,22022,22000,22001,22000,22000,22000,22000,22002,22022,20100,20000,20201,21100,21000,21000,20000,21021,20001,20101,20001,20001,20000,20000,20022,20001,20101,20001,20001,20101,20001,20201,20221,20201,20021,20021,20001,20001,20001,20001,20000,20000,20101,20120,20100,20000,21000,20001,20000
flens,20111,20020,20022,20102,21100,20100,20100,20000,20000,20000,20100,20110,20000,21110,21100,20000,20000,20100,20100,20111,20102,20000,20000,20020,20110,20102,20202,20201,21100,21110,20100,20100,20100,20000,20002,21200,20202,21100,20110,21100,21000,20000,20002,20000,22000,22020,22000,22001,22000,22200,22222,22202,22200,22020,22000,22002,22100,22100,22000,22000,22002,22000,22000,22002,22000,22100,20100,20002,20200,21100,21000,21000,20012,21100,20000,20100,20000,20000,20001,20010,20100,20000,20100,20020,20020,20101,20002,20200,20202,20210,20102,20100,20000,20022,20020,20000,20010,20010,20100,20101,20101,20010,21000,20001,20001
flets,20101,20000,20002,20102,21100,20110,20100,20010,20020,20010,20100,20100,20000,21100,21100,20000,20000,20100,20100,20101,20102,20010,20010,20000,20100,20102,20202,20211,21100,21100,20100,20100,20100,20000,20002,21210,20222,21100,20120,21110,21000,20000,20012,20000,22000,22000,22000,22001,22000,22200,22202,22222,22200,22000,22010,22022,22100,22100,22010,22000,22002,22000,22010,22002,22000,22100,20100,20002,20210,21100,21000,21000,20002,21100,20000,20120,20020,20000,20001,20010,20100,20000,20100,20000,20000,20101,20022,20200,20202,20200,20102,20110,20000,20002,20010,20010,20000,20000,20100,20101,20101,20010,21000,20011,20001
fleur,20100,20001,20001,20101,21100,20100,20100,20000,20000,20000,20101,20100,20002,21100,21100,20001,20001,20101,20101,20100,20100,20020,20000,20010,20100,20100,20200,20200,21100,21100,20101,20102,20100,20010,20020,21200,20200,21100,20100,21100,21000,20001,20000,20001,22002,22000,22001,22000,22020,22202,22200,22200,22222,22000,22001,22000,22100,22102,22000,22001,22000,22010,22010,22010,22012,22102,20100,20020,20201,21100,21000,21000,20000,21101,20001,20101,20001,20021,20000,20000,20102,20001,20101,20001,20001,20101,20001,20201,20201,20201,20101,20101,20001,20001,20001,20011,20010,20010,20111,20110,20110,20010,21020,20011,20000
flink,20110,20022,20020,20200,21000,20000,20100,20100,20000,20000,20200,20011,20101,21010,21100,20000,20000,20000,20000,20010,20000,20000,20000,20020,20010,20000,20001,20000,21000,21010,20000,20100,20100,20100,20100,21100,20100,21000,20010,21100,21100,20100,20100,20000,22100,22022,22000,22000,22000,22000,22020,22000,22000,22222,22200,22200,22000,22000,22000,22000,22000,22100,22100,22001,22000,22000,20100,20000,20000,21100,21100,21001,20010,21000,20000,20000,20000,20000,20000,20010,20000,20100,20000,20020,20022,20000,20000,20002,20000,20010,20200,20200,20200,20020,20020,20100,20110,20011,20100,20000,20100,20010,21000,20000,20100
flirt,20100,20010,20010,20210,21000,20002,20100,20102,20001,20002,20220,20000,20110,21000,21100,20010,20010,20010,20010,20000,20000,20001,20001,20000,20000,20000,20000,20002,21000,21000,20020,20110,20100,20100,20100,21102,20101,21000,20001,21102,21100,20110,20101,20020,22110,22000,22020,22000,22000,22010,22000,22001,22010,22200,22222,22201,22000,22010,22002,22020,22000,22100,22102,22000,22010,22010,20100,20000,20022,21100,21100,21000,20000,21010,20010,20011,20011,20010,20000,20001,20010,20110,20010,20010,20010,20010,20011,20010,20010,20010,20210,20212,20210,20010,20012,20112,20100,20000,20110,20000,20100,20001,21000,20012,20100
flits,20101,20000,20002,20202,21000,20010,20100,20110,20020,20010,20200,20000,20100,21000,21100,20000,20000,20000,20000,20001,20002,20010,20010,20000,20000,20002,20002,20011,21000,21000,20000,20100,20100,20100,20102,21110,20122,21000,20020,21110,21100,20100,20112,20000,22100,22000,22000,22001,22000,22000,22002,22022,22000,22200,22210,22222,22000,22000,22010,22000,22002,22100,22110,22002,22000,22000,20100,20002,20010,21100,21100,21000,20002,21000,20000,20020,20020,20000,20001,20010,20000,20100,20000,20000,20000,20001,20022,20000,20002,20000,20202,20210,20200,20002,20010,20110,20100,20000,20100,20001,20101,20010,21000,20011,20101
floep,20010,20000,20000,20020,21020,20020,20010,20000,20000,20100,20010,20020,20000,21020,21010,20000,20100,20010,20010,20020,20020,20000,20000,20000,20020,20020,20010,20010,21020,21110,20010,20020,20010,20000,20000,21010,20010,21020,20010,21020,21200,20000,20000,20200,22000,22000,22000,22000,22000,22020,22010,22010,22010,22000,22000,22000,22222,22220,22200,22200,22200,22000,22000,22000,22100,22020,20110,20100,20110,21110,21100,21100,20100,21120,20100,20110,20100,20100,20100,20100,20120,20000,20010,20000,20000,20010,20000,20010,20020,20110,20020,20020,20100,20200,20200,20000,20000,20000,20010,20020,20010,20100,21000,20000,20100
floer,20010,20001,20001,20021,21020,20020,20010,20000,20000,20100,20011,20020,20002,21020,21010,20001,20101,20011,20011,20020,20020,20000,20000,20000,20020,20020,20010,20010,21020,21110,20011,20022,20010,20000,20000,21010,20010,21020,20010,21020,21200,20001,20000,20201,22002,22000,22001,22000,22000,22022,22010,22010,22012,22000,22001,22000,22220,22222,22200,22201,22200,22000,22000,22000,22102,22022,20110,20100,20111,21110,21100,21100,20100,21121,20101,20111,20101,20101,20100,20100,20122,20001,20011,20001,20001,20011,20001,20011,20021,20111,20021,20021,20101,20201,20201,20001,20000,20000,20011,20020,20010,20100,21000,20001,20100
floot,20000,20000,20000,20000,21000,20002,20000,20002,20001,20022,20000,20000,20000,21000,21000,20000,20100,20000,20000,20000,20000,20001,20001,20000,20000,20000,20000,20002,21000,21020,20000,20000,20000,20000,20000,21002,20001,21000,20001,21002,21220,20000,20001,20200,22000,22000,22000,22000,22000,22000,22000,22001,22000,22000,22002,22001,22200,22200,22222,22200,22200,22000,22002,22000,22020,22000,20100,20100,20102,21100,21110,21100,20100,21100,20100,20101,20111,20100,20100,20121,20100,20000,20000,20000,20000,20000,20001,20000,20000,20020,20000,20002,20100,20200,20202,20002,20000,20000,20000,20000,20000,20021,21000,20002,20100
flora,20000,20011,20011,20010,21001,20001,20001,20001,20002,20101,20021,20001,20011,21001,21001,20011,20111,20011,20011,20001,20001,20001,20002,20002,20001,20000,20000,20000,21000,21100,20020,20010,20000,20000,20000,21000,20000,21000,20000,21000,21200,20012,20000,20220,22011,22001,22021,22001,22001,22010,22000,22000,22010,22000,22020,22000,22200,22210,22200,22222,22200,22000,22000,22000,22110,22010,20100,20100,20120,21100,21100,21100,20100,21110,20112,20110,20110,20110,20102,20100,20110,20011,20011,20011,20011,20011,20011,20011,20010,20110,20010,20010,20110,20210,20210,20010,20000,20000,20010,20000,20000,20100,21000,20010,20100
floss,20020,20000,20002,20002,21000,20000,20000,20000,20000,20100,20000,20000,20000,21000,21000,20000,20100,20000,20000,20010,20012,20000,20000,20000,20000,20002,20002,20020,21000,21100,20000,20000,20000,20000,20002,21000,20002,21000,20000,21000,21200,20000,20002,20200,22000,22000,22000,22020,22000,22000,22002,22002,22000,22000,22000,22002,22200,22200,22200,22200,22222,22000,22000,22002,22100,22000,20100,20102,20100,21100,21100,21100,20102,21100,20100,20100,20100,20100,20121,20100,20100,20000,20000,20000,20000,20020,20002,20000,20002,20100,20002,20000,20100,20202,20200,20000,20000,20000,20000,20010,20010,20100,21000,20020,20110
fluim,20010,20000,20000,20010,21000,20000,20020,20020,20000,20000,20010,20000,20020,21000,21020,20000,20000,20000,20000,20000,20000,20102,20000,20200,20000,20000,20000,20000,21001,21000,20000,20010,20010,20110,20110,21010,20010,21000,20000,21010,21010,20011,20020,20000,22020,22000,22000,22000,22100,22000,22000,22000,22100,22010,22010,22010,22000,22000,22000,22000,22000,22222,22220,22200,22200,22000,20020,20100,20000,21020,21020,21000,20000,21000,20001,20000,20000,20102,20000,20000,20000,20010,20001,20000,20000,20000,20000,20000,20000,20000,20010,20010,20010,20000,20000,20220,20110,20100,20120,20100,20120,20100,21102,20200,20020
fluit,20010,20000,20000,20010,21000,20002,20020,20022,20001,20002,20010,20000,20020,21000,21020,20000,20000,20000,20000,20000,20000,20101,20001,20200,20000,20000,20000,20002,21000,21000,20000,20010,20010,20110,20110,21012,20011,21000,20001,21012,21010,20010,20021,20000,22020,22000,22000,22000,22100,22000,22000,22001,22100,22010,22012,22011,22000,22000,22002,22000,22000,22220,22222,22200,22200,22000,20020,20100,20002,21020,21020,21000,20000,21000,20000,20001,20001,20100,20000,20001,20000,20010,20000,20000,20000,20000,20001,20000,20000,20000,20010,20012,20010,20000,20002,20222,20110,20100,20120,20100,20120,20101,21100,20202,20020
fluks,20001,20010,20002,20002,21000,20000,20000,20000,20000,20000,20000,20010,20010,21000,21000,20000,20000,20000,20000,20001,20002,20100,20000,20200,20000,20002,20022,20001,21000,21000,20000,20000,20000,20100,20102,21000,20002,21000,20000,21000,21000,20000,20002,20000,22000,22010,22000,22001,22100,22000,22002,22002,22100,22010,22000,22002,22000,22000,22000,22000,22002,22200,22200,22222,22200,22000,20000,20102,20000,21000,21000,21020,20002,21000,20000,20000,20000,20100,20001,20000,20000,20000,20000,20000,20010,20001,20002,20010,20002,20000,20002,20000,20000,20002,20000,20200,20100,20120,20100,20101,20101,20100,21100,20201,20001
